OrgID,IndustryDesc,2010 Org Official Name,CEI Brands,2007 Brands,BG Category 2010,2008 Brands,2010 CEI Rating,BG Common Name,BG Brand Name - 2010,rpt2010BuyersGuideDataPullAllCo.OrgOfficialName,2010 DB PullBrands,New to Buyers Guide,Newly Rated 2010 CEI,National Corp Partner,Notes
1187,Retail and Consumer Products,Sears Holdings Corp.,Craftsman; Kenmore; Joe Boxer; Lands End; DieHard; Covington; Structure,Land's End,Apparel & Accessories,Joe Boxer; Lands' End,100,Sears,Apostrophe; Covington; Joe Boxer; Lands' End; Structure,Sears Holdings Corp.,"Craftsman; Kenmore; Joe Boxer; Lands End; DieHard; Covington; Structure, Apostrophe, Route 66",,,,
1153,Retail and Consumer Products,Target Corp.,,Amy Coe; Cherokee; Furio; Honors; In Due Time; Isaac Mizrahi; Liz Lange; Merona; Michael Graves; Mossimo; Sonia Kashuk; Todd Oldham; Utility; Xhilaration,Apparel & Accessories,Cherokee; Honors; In Due Time; Isaac Mizrahi; Liz Lange; Merona; Mossimo; Utility; Xhilaration,100,Target,Cherokee; Honors; In Due Time; Isaac Mizrahi; Liz Lange; Merona; Mossimo; Utility; Xhilaration,Target Corp.,,,,,
868,"Apparel, Fashion, Textiles, Dept. Stores","TJX Companies, Inc., The",T.J.Maxx;Marshalls; HomeGoods; A.J.Wright; Bob's Stores; TKMaxx; WINNERS'; HomeSense,,Apparel & Accessories,,100,TJX,A.J.Wright; Marshalls; T.J.Maxx,"TJX Companies Inc., The",T.J.Maxx;Marshalls; HomeGoods; A.J.Wright; Shoe MegaShop by Marshalls; TKMaxx; WINNERS'; HomeSense,,,,
1235,Retail and Consumer Products,J.C. Penney Co. Inc.,National brand apparel and home furnishings; private label brands,,Apparel & Accessories,,95,J.C. Penney,Arizona Jean Co.; St. John's Bay; Worthington,J.C. Penney Co. Inc.,National brand apparel and home furnishings; private label brands,,,,
52576,"Apparel, Fashion, Textiles, Dept. Stores",Kenneth Cole Productions Inc.,Kenneth Cole New York; Kenneth Cole Reaction; Unlisted; Tribeca; Gentle Souls; Le Tigre,,Apparel & Accessories,,95,Kenneth Cole,Gentle Souls; Le Tigre; Unlisted,Kenneth Cole Productions Inc.,Kenneth Cole New York; Kenneth Cole Reaction; Unlisted; Gentle Souls; Le Tigre,,,,
1870,Retail and Consumer Products,Limited Brands Inc.,"Victoria's Secret, PINK, La Senza, Bath and Body Works, C.O. Bigelow, White Barn Candle Company and Henri Bendel",,Apparel & Accessories,,95,Limited Brands ,Henri Bendel; La Senza; Pink; Victoria's Secret,Limited Brands Inc.,"Victoria's Secret, PINK, La Senza, Bath and Body Works, C.O. Bigelow, White Barn Candle Company and Henri Bendel",,,,
4821,"Apparel, Fashion, Textiles, Dept. Stores",L.L. Bean Inc.,L.L.Bean,,Apparel & Accessories,,78,L.L. Bean,,L.L. Bean Inc.,L.L.Bean,,,,
55065,Internet Services and Retailing,Hanover Direct Inc.,,,Apparel & Accessories,,75,Hanover Direct,International Male; Silhouettes; Undergear,International Male; Silhouettes; Undergear,"Silhouettes, The Company Store, Company Kids, Undergear, Scandia Down, Domestications",x,x,,
43581,Retail and Consumer Products,Tiffany & Co.,,,Apparel & Accessories,,73,Tiffany & Co.,,Tiffany & Co.,,,,,
8671,Retail and Consumer Products,"Men's Wearhouse Inc., The",,,Apparel & Accessories,,50,The Men's Wearhouse ,K&G,"Men's Wearhouse Inc., The",,,,,
14482,"Apparel, Fashion, Textiles, Dept. Stores",Jones Apparel Group Inc.,Anne Klein;Bandolino;Dockers Women;Easy Spirit;Energie;Enzo Angiolini;Evan-Picone;Gloria Vanderbilt;Joan & David;Jones New York;Judith Jack;Kasper;l.e.i;Le Suit;Mootsies Tootsies;Napier;Nine West;Sam & Libby,,Apparel & Accessories,,45,Jones Apparel ,Anne Klein; Bandolino; Easy Spirit; Energie; Enzo Angiolini; Evan-Picone; Gloria Vanderbilt; Joan & David; Jones New York; Kasper; Napier; Nine West; Sam & Libby,Jones Apparel Group Inc.,,,,,
35596,Banking and Financial Services,M&T Bank Corp.,,,Banking & Finance,,?,M&T Bank,,,,x,,,
54871,Banking and Financial Services,Nasdaq Stock Market,,,Banking & Finance,,?,NASDAQ,,,,x,,,
14562,Banking and Financial Services,National City Corp.,National City Corporation,,Banking & Finance,,?,National City,,,,,,,
4838,Banking and Financial Services,Sovereign Bancorp Inc.,,,Banking & Finance,,?,Sovereign Bancorp,,,,,,,
54845,Banking and Financial Services,Western Union,,,Banking & Finance,,?,Western Union,,,,,,,
1095,Banking and Financial Services,American Express Co.,American Express,,Banking & Finance,,100,American Express ,,American Express Co.,American Express,,,,
